,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
115,29.3,33.0,126000.0,4.0,0.2,110.0,7.4,38.0,0.7410838603973389
116,28.4,183.0,281000.0,2.0,0.42,82.0,26.2,76.0,0.9979426264762877
117,10.6,86.0,111000.0,10.0,0.59,219.0,16.6,72.0,0.5806049704551697
118,5.1,108.0,220000.0,14.0,0.92,12.0,34.5,95.0,0.9613574147224426
119,1.8,39.0,121000.0,13.0,0.46,34.0,15.1,84.0,0.8812502622604369
120,28.0,70.0,3000.0,14.0,0.49,499.0,20.7,86.0,0.5714157819747925
121,10.5,75.0,79000.0,8.0,0.26,126.0,47.6,48.0,0.6741359829902649
122,18.8,178.0,5000.0,9.0,0.78,335.0,39.5,37.0,0.5445104837417603
123,2.1,31.0,39000.0,17.0,0.64,264.0,9.5,40.0,0.6233419179916382
124,17.5,30.0,255000.0,18.0,0.46,12.0,45.8,55.0,0.8527991771697998
125,1.0,159.0,18000.0,3.0,0.99,58.0,9.2,35.0,1.0
126,8.0,131.0,157000.0,8.0,0.06,321.0,12.9,57.0,0.8099245429039
127,9.4,82.0,263000.0,11.0,0.98,197.0,1.4,93.0,0.6282037496566772
128,22.1,171.0,269000.0,7.0,0.06,20.0,18.3,54.0,0.4701189994812011
129,2.4,192.0,39000.0,2.0,0.86,128.0,12.5,13.0,0.9592774510383606
130,24.8,76.0,38000.0,5.0,0.55,178.0,3.6,79.0,0.6585136651992798
131,16.4,120.0,109000.0,13.0,0.77,124.0,9.4,70.0,0.5971065759658813
132,11.4,197.0,3000.0,11.0,0.03,292.0,5.9,6.0,0.667926549911499
133,20.8,128.0,161000.0,12.0,0.57,95.0,49.3,31.0,0.7640836238861084
134,28.3,139.0,88000.0,1.0,0.31,23.0,4.3,21.0,0.8318524956703186
135,9.9,22.0,175000.0,14.0,0.28,227.0,6.7,16.0,0.5351374745368958
136,26.2,129.0,259000.0,7.0,0.2,367.0,31.9,52.0,0.5340404510498047
137,18.9,145.0,17000.0,16.0,0.63,379.0,9.4,52.0,0.5420197248458862
138,7.9,164.0,99000.0,12.0,0.16,300.0,6.3,64.0,0.6278424263000488
139,18.0,103.0,286000.0,19.0,0.78,433.0,23.3,43.0,0.4783895313739776
140,11.6,49.0,148000.0,8.0,0.54,227.0,36.5,43.0,0.6947650909423828
141,5.7,179.0,174000.0,16.0,0.85,162.0,36.1,47.0,0.6764746308326721
142,18.7,96.0,75000.0,10.0,0.5,11.0,29.9,24.0,0.6900206804275513
143,7.6,187.0,261000.0,16.0,0.12,21.0,12.1,87.0,0.8608491420745851
144,12.0,170.0,99000.0,9.0,0.33,300.0,43.9,14.0,0.5041622519493103
145,14.1,151.0,54000.0,6.0,0.84,402.0,34.3,34.0,0.5418645143508911
146,20.3,60.0,206000.0,20.0,0.88,100.0,5.9,96.0,0.6152082085609436
147,11.0,33.0,248000.0,13.0,0.93,49.0,15.6,6.0,0.5287402272224426
148,5.7,31.0,222000.0,16.0,0.61,381.0,9.7,2.0,0.4443462789058685
149,8.5,13.0,95000.0,13.0,0.97,191.0,8.0,97.0,0.6376396417617798
150,8.4,61.0,286000.0,7.0,0.26,420.0,10.4,16.0,0.6641280055046082
151,14.6,122.0,203000.0,16.0,0.25,210.0,31.8,72.0,0.694420576095581
152,16.6,22.0,278000.0,19.0,0.21,201.0,49.5,93.0,0.4628317356109619
153,26.0,30.0,186000.0,11.0,0.3,219.0,23.2,19.0,0.45490449666976934
154,12.6,38.0,263000.0,16.0,0.57,170.0,29.6,25.0,0.6037485599517822
155,21.2,97.0,51000.0,14.0,0.86,271.0,34.5,26.0,0.872220754623413
156,13.3,135.0,198000.0,13.0,0.39,254.0,30.7,51.0,0.5084179639816284
157,11.9,110.0,221000.0,3.0,0.39,156.0,46.4,19.0,0.7944169044494629
158,4.1,194.0,114000.0,4.0,0.53,138.0,34.0,83.0,0.9516511559486389
159,3.3,19.0,222000.0,18.0,0.33,343.0,25.3,11.0,0.6034425497055054
160,8.7,151.0,57000.0,5.0,0.25,378.0,41.0,15.0,0.6323997974395752
161,18.7,142.0,99000.0,17.0,0.55,272.0,48.0,43.0,0.4986496567726135
162,13.7,112.0,74000.0,8.0,0.73,256.0,3.9,34.0,0.5804438591003418
163,9.9,133.0,81000.0,13.0,0.52,452.0,45.5,41.0,0.5808150172233582
164,20.9,147.0,154000.0,20.0,0.59,68.0,24.3,32.0,0.7817755937576294
165,23.6,139.0,99000.0,17.0,0.61,280.0,20.2,37.0,0.8146513104438782
166,1.6,68.0,246000.0,10.0,0.43,353.0,12.0,26.0,0.6706382036209106
