,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
25,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
26,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
27,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
28,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
29,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
30,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
31,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
32,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
33,25.4,85.0,195000.0,13.0,0.47,38.0,24.3,8.0,0.3360291123390198
34,25.3,99.0,195000.0,19.0,0.47,39.0,24.3,9.0,0.33249133825302124
35,25.3,99.0,195000.0,19.0,0.36,39.0,24.3,9.0,0.31800636649131775
36,25.3,99.0,195000.0,19.0,0.36,39.0,24.3,8.0,0.30975449085235596
37,25.3,99.0,195000.0,20.0,0.36,39.0,24.3,8.0,0.3078455924987793
38,25.3,99.0,195000.0,20.0,0.36,39.0,24.3,8.0,0.3078455924987793
39,25.3,99.0,195000.0,20.0,0.36,39.0,24.3,8.0,0.3078455924987793
40,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
41,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
42,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
43,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
44,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
45,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
46,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
47,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
48,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
49,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
50,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
51,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
52,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
53,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
54,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
55,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
56,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
57,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
58,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
59,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
60,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
61,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
62,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
63,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
64,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
65,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
66,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
67,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
68,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
69,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
70,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
71,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
72,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
73,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
74,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
75,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
76,20.3,99.0,195000.0,20.0,0.36,39.0,24.4,8.0,0.3028002381324768
