Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA,ene
0,0,0,0,4,12.5,0,51.5,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,3,6.5,0,0,0,0.028954185,0.8332,3.44E-06,0.010906632,0.000315,-10051.9075
0,0,0,0,17,0,0,13.5,0,0,10,0,0,0,0,0,0,0,39.5,0,0,0,0,20,0,0,0,0.04737661,0.962,0.000432495,0.017182297,0.025171,-9166.307162
0,0,0,0,9.5,0,0,30,0,0,19,0,0,0,0,0,0,0,29.5,0,0,0,0,0,9,3,0,0.0357108,0.7766,0.000181623,0.01382088,0.013141,-7547.802388
0,8.5,0,0,18.5,0,0,15.5,0,0,0,9,0,8,0,0,0,0,40.5,0,0,0,0,0,0,0,0,0.032033305,1.3108,0.000261127,0.009594359,0.027217,-3954.038247
11,0,2.5,0,11,0,0,43.5,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0.01035269,0.8058,0.000101015,0.010159146,0.009943,-3033.012685
0,0,0,0,22.5,0,0,36,0,0,0,9,0,4.5,0,0,0,0,14.5,0,0,0,0,0,13.5,0,0,0.032110555,0.8219,4.66E-05,0.010738809,0.004343,-7459.08551
2.5,0,0,5,35.5,0,0,16,0,0,0,13,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.005160585,1.3254,0.000254697,0.019276065,0.013213,-2871.716237
0,0,9.5,0,17,0,0,11,6,0,0,0,0,0,0,0,0,0,33.5,0,0,0,0,0,0,0,23,0.50176834,1.2892,0.000567599,0.008982474,0.06319,-11849.82696
0,0,0,0,12.5,0,0,61,0,0,20.5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0.104063655,0.2986,5.53E-05,0.010713661,0.005158,-5431.537277
0,0,0,0,19.5,0,0,8.5,0,0,17.5,0,11,0,0,0,0,0,38,0,0,0,0,0,5.5,0,0,0.028618515,1.0998,0.000288406,0.015719471,0.018347,-9083.990601
0,0,0,21,39.5,0,0,18.5,0,0,1,0,0,0,0,0,0,0,7.5,12.5,0,0,0,0,0,0,0,0.015636185,0.9692,0.000192384,0.010186294,0.018887,-3950.042694
0,0,4,0,13,0,0,27.5,0,0,0,0,0,0,1.5,0,0,0,36,0,0,0,0,18,0,0,0,0.03481977,0.968,0.000244311,0.011172131,0.021868,-7985.961348
0,0,0,0,19.5,8,0,47.5,0,0,0,0,0,0,0,12,8,0,5,0,0,0,0,0,0,0,0,0.01251827,1.1123,3.58E-05,0.038993546,0.000918,-5473.360114
0,0,9.5,0,60.5,0,0,11,0,0,0,0,4.5,0,0,0,0,0,5.5,9,0,0,0,0,0,0,0,0.005011685,1.1711,0.000262374,0.01595082,0.016449,-4682.797738
11.5,9,0,0,22,0,0.5,17,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0.020348325,1.1469,0.000311353,0.012926968,0.024086,-3082.977138
0,0,0,0,68.5,0,0,3,0,0,0,0,12.5,0,0,0,0,0,6,2.5,7.5,0,0,0,0,0,0,0.01129223,1.4222,0.000423619,0.036526788,0.011597,-7709.166981
0,0,0,2,30.5,0,0,26,0,0,0,0,23,0,0,0,0,0,3.5,0,0,0,0,0,0,0,15,0.35527409,0.8621,0.000246232,0.010933831,0.02252,-16773.62019
17,0,0,0,3.5,0,4,27.5,0,0,0,0,0,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0.00844241,1.1361,0.000222292,0.009412617,0.023616,-3144.333865
0,20.5,0,3.5,27,0,0,24.5,0,0,0,6.5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0.034701425,0.7948,0.000129236,0.010405452,0.01242,-3884.354081
0,0,0,0,14,0,4.5,30,0,0,0,0,0,0,0,0,5,0,24.5,0,0,0,0,22,0,0,0,0.04156077,0.8143,0.000146602,0.01028748,0.014251,-9513.739195
0,0,4,0,14,0,20,33.5,0,0,0,0,0,0,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0.00266843,1.2631,0.000182774,0.07106455,0.002572,-4172.887641
0,0,0,0,43,0,7.5,14,0,0,0,0,0,0,0,21.5,0,0,8.5,5.5,0,0,0,0,0,0,0,0.01253609,1.2097,0.000315389,0.019523437,0.016154,-3594.381306
0,0,0,0,7.5,0,0,39,0,0,0,0,0,0,0,0,0,0,32,0,2.5,0,17.5,0,0,0,1.5,0.07016051,0.9381,0.000190824,0.009951607,0.019175,-8565.693255
0,0,0,0,66,0,4,3.5,0,0,0,0,0,0,0,0,0,0,3.5,18.5,0,0,0,4.5,0,0,0,0.024602425,1.0915,0.000217964,0.041340306,0.005272,-5570.447428
0,0,0,0,5,0,0,22,0,0,0,0,0,0,4.5,14.5,14.5,0,39.5,0,0,0,0,0,0,0,0,0.01782459,1.5,0.000233529,0.013692916,0.017055,-2302.704279
0,0,0,0,20,0,0,12,0,0,25,7.5,6,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0.034716285,0.8986,0.000217155,0.013397594,0.016209,-6160.003216
0,0,2.5,0,36.5,0,0,0.5,0,0,0,0,0,0,0,0,22,0,33,5.5,0,0,0,0,0,0,0,0.020143315,1.487,0.000369527,0.014451112,0.025571,-2471.276311
0,0,0,0,34.5,0,0,7.5,3.5,0,0,0,0,0,0,0,0,14.5,21,0,0,0,0,0,19,0,0,0.023355725,1.0023,7.49E-05,0.009687707,0.007731,-8286.92675
0,0,0,0,38,0,0,0.5,8.5,0,0,0,0,6,0,21,0,0,26,0,0,0,0,0,0,0,0,0.02074305,1.8266,0.000420055,0.016218241,0.0259,-3269.564255
0,0,0,0,23.5,0,0,9.5,0,11.5,0,10,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,16,0.381744335,1.2709,0.000549557,0.009803042,0.05606,-9378.716816
0,0,0,0,38,0,0,3,0,0,0,20.5,0,0,6,0,0,0,28,0,0,0,0,0,0,0,4.5,0.127466615,1.1671,0.0003011,0.011769722,0.025583,-4609.951918
1.5,0,0,17.5,61.5,0,0,13.5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01007405,1.0564,0.000167599,0.013965187,0.012001,-3089.961856
2.5,0,0,17,13.5,0,0,30,0,0,0,0,0,0,10.5,0,0,0,26.5,0,0,0,0,0,0,0,0,0.009718595,0.7275,9.29E-05,0.008552697,0.010862,-2940.389526
0,0,0,15.5,19.5,0,0,55.5,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4.5,0,0,0,0,0.012725465,0.566,1.71E-05,0.010842246,0.001573,-4611.477731
0,0,0,0,10,0,0,22.5,3,0,0,0,0,0,0,6.5,0,0,28.5,0,29.5,0,0,0,0,0,0,0.006403805,1.2499,0.000463208,0.016161778,0.028661,-4770.278332
0,16.5,0,0,45.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,6.5,0,0.03206699,1.1444,0.000301767,0.017440711,0.017302,-5689.450053
0,0,2,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,39,21.5,0,0,0,3.5,0,0,0,0.020592505,1.318,0.000385011,0.021271317,0.0181,-5032.939493
0,0,0,0,39,0,0,10.5,0,0,0,0,13,0,0,0,0,2.5,21.5,0,13.5,0,0,0,0,0,0,0.006569445,1.4039,0.000540404,0.019228236,0.028105,-8056.325971
1,0,0,19,3.5,0,0,44.5,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0.00575003,0.6833,8.53E-05,0.011320858,0.007536,-3226.938596
0,0,0,24,46.5,0,0,14.5,0,0,0,0,0,0,0,2.5,0,0,9.5,0,3,0,0,0,0,0,0,0.013253005,1.1765,0.000229189,0.012138169,0.018882,-3331.413338
0,0,0,0,66,0,7.5,6,0,0,0,0,0,0,0,16,0,1.5,3,0,0,0,0,0,0,0,0,0.008347915,1.5673,0.000395692,0.02075833,0.019062,-3234.787055
0,0,0,0,16,5.5,0,18,0,0,0,17,0,0,0,0,0,0,26.5,0,0,0,0,0,17,0,0,0.035231595,0.9154,0.000124672,0.010532045,0.011837,-10010.15759
0,0,0,0,28,0.5,0,14.5,0,0,0,0,0,0,0,0,0,22.5,34.5,0,0,0,0,0,0,0,0,0.00564613,1.37,0.000231283,0.013355793,0.017317,-2420.622014
0,0,0,0,26.5,0,17.5,10,0,0,0,0,2,0,0,0,0,0,25.5,0,0,0,0,18.5,0,0,0,0.03455018,1.0127,0.000246785,0.012513774,0.019721,-10177.68148
0,0,0,0,6.5,0,0,28.5,0,0,0,0,11,7.5,0,0,0,0,41,0,0,5.5,0,0,0,0,0,0.02012178,1.3209,0.000315871,0.011372616,0.027775,-8737.679947
0,0,8.5,3,4,0,0,26,0,0,0,0,0,0,0,0,0,0,44,14.5,0,0,0,0,0,0,0,0.005690645,1.2727,0.000268736,0.010874618,0.024712,-3503.84652
0,0,0,0,10.5,6,0,43.5,0,0,0,0,0,0,0,1,0,0,21.5,0,0,0,0,0,0,0,17.5,0.41789589,1.0778,0.000330081,0.009999539,0.03301,-12025.14259
0,0,0,0,12.5,2,0,40.5,0,0,16.5,0,11.5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0.02495101,0.727,6.38E-05,0.012078319,0.005282,-8354.069678
0,0,0,0,40.5,0,0,11,1,0,0,16,0,0,0,0,0,0,21,10.5,0,0,0,0,0,0,0,0.014571495,1.2474,0.000321347,0.01459173,0.022023,-3515.095853
0,19.5,1.5,0,10,0,0,21.5,0,0,0,0,8.5,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0.028473,1.0618,0.000270417,0.011416737,0.023686,-6558.669834
0,0,0,0,29.5,0,0,38,0,0,0,0,0,23,0,0,3,5,1.5,0,0,0,0,0,0,0,0,0.03803015,0.6661,0.000441892,0.011654202,0.037917,-4899.55846
0,0,0,0,17.5,8.5,0,17,0,0,0,13.5,0,0,0,0,0,0,38,0,0,5.5,0,0,0,0,0,0.022937445,1.3047,0.00037359,0.014834902,0.025183,-7317.934942
0,0,0,0,6.5,0,0,34,0,0,0,0.5,0,0,0,0,4,0,22,0,0,33,0,0,0,0,0,0.045482175,0.6507,0.000120152,0.008597842,0.013975,-11772.51814
0,0,0,0,14.5,0,0,40.5,0,0,0,0,0,0,0,0,5.5,0,6.5,0,25,0,0,0,0,0,8,0.196713235,0.7969,0.000156208,0.012293857,0.012706,-7668.982812
17.5,0,0,6,39,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,8.5,0,0,0,0,0.019593125,1.0026,0.000237908,0.009726317,0.02446,-6809.846329
0,0,0,8,13,0,0,35,0,0,15,0,0,0,0,0,0,0,25.5,0,3.5,0,0,0,0,0,0,0.02018153,0.9105,0.000114636,0.010061227,0.011394,-3961.706981
1.5,0,0,0,21,0,0,32,22.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,10.5,0,0.00519034,0.8058,0.000425331,0.012923419,0.032912,-6460.913312
0,0,4.5,18,11,0,0,58.5,0,0,0,0,0,0,2.5,0,0,0,5.5,0,0,0,0,0,0,0,0,0.00417063,0.5214,4.45E-05,0.010707357,0.004156,-3056.021395
0,0,0,22,40,0,0,6.5,0,0,0,0,0,0,0,0,2,0,22.5,0,0,0,0,0,0,0,7,0.18539167,1.3256,0.00031684,0.010733483,0.029519,-5838.100293
